id;start_date;end_date;language
1;2021-11-19T11:54:35;2021-11-19T09:44:50;ENGLISH
2;2021-11-18T21:22:10;2021-11-19T06:47:39;FRENCH
3;2021-11-19T07:18:22;2021-11-18T19:23:30;SPANISH
4;2021-11-19T11:49:11;2021-11-18T17:15:30;FRENCH
5;2021-11-19T14:05:34;2021-11-18T22:24:32;ENGLISH
6;2021-11-18T23:36:17;2021-11-19T13:36:37;SPANISH
7;2021-11-19T07:40:05;2021-11-18T18:14:14;FRENCH
8;2021-11-18T22:05:58;2021-11-18T18:41:47;FRENCH
9;2021-11-18T22:57:36;2021-11-19T10:29:02;FRENCH
10;2021-11-18T18:54:34;2021-11-19T11:52:03;FRENCH
